Method,Name,Error,Occurrences
GET,/inventory/branch (stock-level),CatchResponseError('stock-level HTTP 500'),2
POST,/transactions/sale,CatchResponseError('sale HTTP 400'),9
GET,[META] branches,CatchResponseError('branches: 500'),19
GET,[META] suppliers,CatchResponseError('suppliers: 500'),1
POST,/transactions/sale,CatchResponseError('sale HTTP 500'),40
GET,/transactions (billing-check),CatchResponseError('billing-check HTTP 500'),3
POST,/transactions/purchase,CatchResponseError('purchase HTTP 500'),4
GET,[META] items,CatchResponseError('items: 500'),2
GET,[META] inventory/branch,CatchResponseError('inventory/branch: 500'),12
GET,/transactions (order-history),CatchResponseError('order-history HTTP 500'),1
GET,[META] warehouses,CatchResponseError('warehouses: 500'),1
